"Evaluation Grid Id";"Criterion Id";"Criterion Parent Id";"Criterion Label";"Grade"
"DEFAULTEVALGRID";"Q001";;"Savoir être";
"DEFAULTEVALGRID";"Q002";"Q001";"Respect des horaires de travail";
"DEFAULTEVALGRID";"Q003";"Q001";"Respect des interlocuteurs (clients, personnels, encadrants, pairs, ...)";
"DEFAULTEVALGRID";"Q004";"Q001";"Respect du bien-être des animaux";
"DEFAULTEVALGRID";"Q005";"Q001";"Respect des consignes vestimentaires, d’hygiène et de de biosécurité";
"DEFAULTEVALGRID";"Q006";"Q001";"Respect du matériel mis à disposition";
"DEFAULTEVALGRID";"Q007";;"Motivation et implication personnelle";
"DEFAULTEVALGRID";"Q008";"Q007";"Motivation à apprendre (cherche à approfondir et à discuter des cas, à améliorer ses compétences techniques)";
"DEFAULTEVALGRID";"Q009";"Q007";"Capacité à prendre des initiatives et à être pro-actif";
"DEFAULTEVALGRID";"Q010";"Q007";"Capacité à s’impliquer dans le suivi des animaux pendant l’ensemble du parcours de soin";
"DEFAULTEVALGRID";"Q011";;"Qualités d’organisation et de travail en équipe";
"DEFAULTEVALGRID";"Q012";"Q011";"Capacité à s’organiser et le cas échéant à organiser le travail collectif";
"DEFAULTEVALGRID";"Q013";"Q011";"Capacité à travailler en équipe et à s’impliquer dans un collectif";
"DEFAULTEVALGRID";"Q014";"Q011";"Capacité à prendre des décisions, à les faire valider et à les assumer (sens des responsabilités)";
"DEFAULTEVALGRID";"Q015";"Q011";"Capacité à demander de l’aide en cas de besoin";
"DEFAULTEVALGRID";"Q016";;"Compétences liées à la mobilisation des acquis";
"DEFAULTEVALGRID";"Q017";"Q016";"Capacité à mobiliser les notions théoriques en situation clinique";
"DEFAULTEVALGRID";"Q018";"Q016";"Capacité à utiliser les ressources documentaires de façon raisonnée et rationnelle";
"DEFAULTEVALGRID";"Q019";"Q016";"Capacité à utiliser correctement le vocabulaire scientifique et clinique";
"DEFAULTEVALGRID";"Q020";"Q016";"Capacité à mobiliser les connaissances pharmacologiques relatives aux médicaments qu’il utilise";
"DEFAULTEVALGRID";"Q021";;"Compétences techniques et activités de soins";
"DEFAULTEVALGRID";"Q022";"Q021";"Capacité à assurer ou diriger la contention de l’animal examiné";
"DEFAULTEVALGRID";"Q023";"Q021";"Capacité à faire un examen clinique complet";
"DEFAULTEVALGRID";"Q024";"Q021";"Capacité à préparer l’ensemble du matériel nécessaire pour les gestes techniques";
"DEFAULTEVALGRID";"Q025";"Q021";"Capacité à faire les gestes techniques correspondant à son niveau, en respectant les";
"DEFAULTEVALGRID";"Q026";"Q021";"bonnes pratiques et avec une habileté technique suffisante";
"DEFAULTEVALGRID";"Q027";;"Compétences liées à la démarche clinique";
"DEFAULTEVALGRID";"Q028";"Q027";"Capacité à identifier un motif de consultation (animal ou groupe d’animaux) et à recueillir une anamnèse";
"DEFAULTEVALGRID";"Q029";"Q027";"Capacité à synthétiser un bilan clinique en intégrant les données de l’anamnèse et de l'examen clinique";
"DEFAULTEVALGRID";"Q030";"Q027";"Capacité à proposer des hypothèses diagnostiques hiérarchisées";
"DEFAULTEVALGRID";"Q031";"Q027";"Capacité à choisir, justifier et interpréter des examens complémentaires";
"DEFAULTEVALGRID";"Q032";"Q027";"Capacité à proposer un pronostic";
"DEFAULTEVALGRID";"Q033";"Q027";"Capacité à proposer et justifier une stratégie thérapeutique";
"DEFAULTEVALGRID";"Q034";"Q027";"Capacité à identifier une situation clinique pouvant conduire à la propagation d’une maladie contagieuse et/ou d’une zoonose (mesures de biosécurité)";
"DEFAULTEVALGRID";"Q035";;"Communication écrite et orale";
"DEFAULTEVALGRID";"Q036";"Q035";"Capacité à tenir un dossier clinique bien présenté, complet et documenté";
"DEFAULTEVALGRID";"Q037";"Q035";"Capacité à rédiger des comptes rendus clairs, concis et précis dans un français approprié";
"DEFAULTEVALGRID";"Q038";"Q035";"Capacité à présenter à l’oral de façon claire, concise et précise des informations";
"DEFAULTEVALGRID";"Q039";"Q035";"médicales avec un vocabulaire scientifique approprié";
"DEFAULTEVALGRID";"Q040";"Q035";"Capacité à expliquer avec les termes appropriés et en adaptant son discours en fonction du public (clients, personnel, enseignants, autres étudiants, …)";
